,dp_id,MissedWeeds,MissedCrop,CasW,WasC,FPWeed,FPCrop,Total,labeled_instances,actual_instances
319,5ec5781268d373ba5bd74283,1,0,0,0,0,1,2,4,5
320,5ed5b8e9a73992ccf55ed70f,0,0,0,0,0,2,2,2,2
321,5ed48b4091279ae053a36eff,0,0,0,0,0,0,0,3,3
322,5ed46e3e3ecb8ee2b105c6bb,0,0,0,0,2,1,3,3,1
323,5ecf6a86d2db669275f8834d,0,0,0,0,0,0,0,2,2
324,5ec5781268d373ba5bd742d4,5,1,0,0,0,1,7,3,8
325,5ed5ba579f490f1e82c7918f,8,0,0,0,0,1,9,5,13
326,5ecf69dddc73777654f88275,0,0,0,0,1,0,1,10,9
327,5ecf8bd84342aa4c6184b20a,0,0,0,1,0,2,3,5,6
328,5ec698509e28f5ea34223a21,0,0,0,0,0,0,0,2,2
329,5ec4b743ce7cf4e480e12be2,0,1,0,0,0,0,1,1,1
330,5ec3a8d4a2ac22245c05224e,0,2,0,0,0,0,2,4,4
331,5ed0800dcbe9c046e9d0d37e,0,0,1,0,0,0,1,5,4
332,5ec3a8d4a2ac22245c05224c,0,0,1,0,0,0,1,1,0
333,5ed33f30337b2cacaef98333,1,0,2,0,0,0,3,4,3
334,5ec3a8d4a2ac22245c05228d,2,0,1,0,0,0,3,3,4
335,5ec3a8d4a2ac22245c05228c,0,0,0,0,0,0,0,15,15
336,5ecf600df26e70c8099873d4,0,0,0,0,1,0,1,13,12
337,5ed0a6d1aa4e6904996ae2dc,0,0,0,0,0,0,0,8,8
338,5ec4cb1bce7cf4e480e1369b,0,0,0,0,0,0,0,12,12
339,5ec3a8d4a2ac22245c052286,3,0,0,0,0,0,3,10,13
340,5ec3a8d4a2ac22245c052284,0,0,0,0,0,0,0,5,5
341,5ed05a5b9479ef41ee1d246c,4,0,0,0,1,0,5,5,8
342,5ed1b4f3980476448142994a,7,0,0,0,0,0,7,5,12
343,5ec3a8d4a2ac22245c052280,2,2,0,0,0,1,5,10,12
344,5ec3a8d4a2ac22245c05227f,1,0,0,1,2,21,25,11,11
345,5ec3a8d4a2ac22245c05227e,4,1,0,0,1,2,8,6,9
346,5ec3a8d4a2ac22245c05227c,3,4,1,0,0,0,8,6,8
347,5ec3a8d4a2ac22245c05227b,1,0,0,0,0,7,8,2,3
348,5ec797f67bb87fc9af3bc2b3,0,1,0,0,4,4,9,3,-1
349,5ec3a8d4a2ac22245c052291,0,0,1,0,0,0,1,2,1
350,5ec72b22b6e1142b31f79f0f,0,4,0,0,0,0,4,2,2
351,5ec3a8d4a2ac22245c05228f,0,0,0,0,0,6,6,2,2
352,5ec3a8d4a2ac22245c052285,0,0,0,0,0,0,0,5,5
353,5ec3a8d4a2ac22245c05227a,1,0,0,0,0,0,1,1,2
354,5ec4cd1cce7cf4e480e13748,0,0,0,0,0,2,2,2,2
355,5ec3a8d3a2ac22245c052212,0,0,0,0,1,1,2,1,0
356,5ec88c686afe4bb02b4bc2c7,0,0,0,0,0,12,12,1,1
357,5ed067e530b0f7d30bf4764c,0,0,0,0,0,2,2,1,1
358,5ec3a8d3a2ac22245c05220d,0,0,2,0,0,3,5,3,1
359,5ecf5f269d886544f4e30202,0,0,0,0,2,0,2,2,0
360,5ecf7a0730131ce226c4be72,0,2,0,1,0,1,4,1,2
361,5ec48993ce7cf4e480e0e7c6,0,0,0,0,0,0,0,4,4
362,5ecf45c2b82153c4fccf669b,1,0,0,0,0,0,1,2,3
363,5ed44ea64f729ae77293efb1,2,1,0,0,0,0,3,8,10
364,5ec4b5cbce7cf4e480e12aa9,2,0,1,0,0,0,3,6,7
365,5ec3a8d4a2ac22245c052272,7,0,0,0,0,0,7,4,11
366,5ecf7600dbb90c63bb20bd2e,0,0,0,0,1,0,1,8,7
367,5ec3a8d4a2ac22245c05226e,0,0,0,0,0,0,0,11,11
368,5ec3a8d4a2ac22245c05226c,1,0,0,0,0,0,1,11,12
369,5ecf7718547fe345ed7172ae,2,0,0,0,1,7,10,12,13
370,5ed4d86befac2908528f33e3,0,0,0,0,0,0,0,12,12
371,5ec3a8d4a2ac22245c052266,4,0,0,0,0,0,4,9,13
372,5ec3a8d4a2ac22245c052265,1,0,1,0,0,0,2,12,12
373,5ec3a8d4a2ac22245c052264,1,0,0,0,0,0,1,7,8
374,5ecf4f47f43566cc3140e279,2,0,0,0,0,0,2,5,7
375,5ecdf104c9c3b710fe914644,0,0,0,2,2,0,4,7,7
376,5ecf50fbc5851421be67b24d,0,0,1,0,0,7,8,2,1
377,5ec3a8d4a2ac22245c052278,0,0,0,0,0,0,0,2,2
378,5ec3a8d4a2ac22245c052276,1,0,0,0,0,0,1,1,2
